State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Madhya Pradesh,Dhar,Sardarpur (NP),661,137,457,443,366,67,0,0,390,0,3
Madhya Pradesh,Dewas,Bagli (NP),400,1,341,341,296,58,0,0,325,0,46
Madhya Pradesh,Dewas,Bhaurasa (NP),833,363,469,469,451,1,0,0,516,8,4
Madhya Pradesh,Dewas,Dewas (M Corp.),10177,99,5318,5318,4673,2981,0,1779,4383,1,0
Madhya Pradesh,Dewas,Hatpiplya (NP),432,432,0,0,0,0,0,0,0,1,0
Madhya Pradesh,Dewas,Kannod (NP),2362,1503,321,311,40,537,0,1,256,0,0
Madhya Pradesh,Dewas,Kantaphod (NP),828,45,429,429,398,354,0,0,305,1,0
Madhya Pradesh,Dewas,Karnawad (NP),820,0,429,429,152,390,1,0,86,0,0
Madhya Pradesh,Dewas,Khategaon (NP),783,58,409,409,315,316,0,0,171,1,0
Madhya Pradesh,Dewas,Loharda (NP),753,116,359,350,298,278,0,0,36,0,0
Madhya Pradesh,Dewas,Nemawar,1016,0,486,303,137,444,0,86,224,0,0
Madhya Pradesh,Dewas,Pipalrawan (NP),708,73,426,415,266,209,0,0,283,0,0
Madhya Pradesh,Dewas,Satwas (NP),835,65,568,105,19,201,1,0,231,6,0
Madhya Pradesh,Dewas,Sonkatch (NP),472,14,369,369,304,89,0,0,227,0,0
Madhya Pradesh,Dewas,Tonk Khurd (NP),586,0,436,436,38,149,0,1,436,0,0
Madhya Pradesh,Datia,Badoni (NP),1559,38,1167,1109,765,354,0,0,509,0,0
Madhya Pradesh,Datia,Bhander (NP),2147,2,1161,1161,625,983,0,1,845,0,0
Madhya Pradesh,Datia,Datia (M),3597,53,2195,2192,1460,1346,2,1,1302,1,0
Madhya Pradesh,Datia,Indergarh (NP),2077,15,1435,1435,501,626,1,0,543,1,0
Madhya Pradesh,Datia,Seondha (NP),1382,170,990,990,0,219,1,2,142,1,1
Madhya Pradesh,Chhatarpur,Bada Malhera (NP),692,0,637,633,475,54,0,1,448,120,0
Madhya Pradesh,Chhatarpur,Barigarh (NP),826,444,213,165,53,167,2,0,191,20,0
Madhya Pradesh,Chhatarpur,Bijawar (NP),1266,113,857,287,29,296,0,0,295,0,0
Madhya Pradesh,Damoh,Damoh (M),8440,329,7067,7067,1625,1041,0,3,2702,2,3
Madhya Pradesh,Chhatarpur,Buxwaha (NP),948,133,523,84,80,292,0,0,143,1,2
Madhya Pradesh,Chhatarpur,Chandla (NP),1372,0,1004,0,0,367,1,0,503,1,1
Madhya Pradesh,Damoh,Hatta (M),2284,524,874,436,38,885,0,1,608,0,0
Madhya Pradesh,Damoh,Hindoria (NP),2045,1245,476,72,0,321,2,1,436,2,2
Madhya Pradesh,Chhatarpur,Chhatarpur (M),4663,1019,3184,3184,1776,450,5,5,2480,15,3
Madhya Pradesh,Chhatarpur,Garhi - Malhera (NP),824,51,456,456,147,317,0,0,247,0,0
Madhya Pradesh,Damoh,Patera,3430,1180,1390,217,57,854,0,6,1391,1,0
Madhya Pradesh,Damoh,Patharia (NP),2415,963,1072,634,9,380,0,0,1051,0,0
Madhya Pradesh,Chhatarpur,Ghuwara (NP),1258,95,866,720,103,297,0,0,242,94,0
Madhya Pradesh,Damoh,Tendukheda (NP),1852,810,938,52,18,103,0,1,938,7,1
Madhya Pradesh,Chhatarpur,Harpalpur (NP),803,438,200,86,3,164,0,1,120,1,0
Madhya Pradesh,Chhatarpur,Khajuraho (NP),1691,571,951,950,452,168,1,0,964,0,0
Madhya Pradesh,Chhatarpur,Lavkush Nagar (NP),1586,53,1381,1,1,151,0,1,449,0,0
Madhya Pradesh,Chhatarpur,Maharajpur (NP),1857,273,1481,556,354,102,1,0,578,3,1
Madhya Pradesh,Chhatarpur,Nowgong (M),597,94,501,501,102,1,1,0,501,1,3
Madhya Pradesh,Chhatarpur,Rajnagar (NP),1936,37,853,853,487,476,0,570,830,1,0
Madhya Pradesh,Chhatarpur,Satai (NP),1124,174,932,380,49,17,1,0,500,1,0
Madhya Pradesh,Burhanpur,Burhanpur (M Corp.),5832,273,4941,4941,2967,615,2,1,4963,8,2
Madhya Pradesh,Burhanpur,Nepanagar (M),3133,91,1515,1487,1336,1527,0,0,714,13,0
Madhya Pradesh,Burhanpur,Shahpur (NP),2415,41,1663,1663,1503,711,0,0,972,0,1
Madhya Pradesh,Bina Etawa,,,,,,,,,,,,
Madhya Pradesh,Chhindwara,Amarwara (M),828,3,802,652,323,23,0,0,647,0,0
Madhya Pradesh,Chhindwara,Badkuhi (NP),870,102,700,700,225,68,0,0,493,0,0
Madhya Pradesh,Chhindwara,Bichua,1056,22,828,828,481,206,0,0,527,2,0
Madhya Pradesh,Chhindwara,Chand,2215,3,1025,1023,57,1180,0,7,555,0,1
Madhya Pradesh,Chhindwara,Chandameta- Butaria (NP),1385,8,1107,1106,686,270,0,0,609,0,0
Madhya Pradesh,Chhindwara,Chaurai Khas (M),980,206,447,447,312,325,0,2,499,5,0
Madhya Pradesh,Chhindwara,Chhindwara (M),14396,2574,11527,11527,5769,281,4,10,11591,135,0
Madhya Pradesh,Chhindwara,Damua (M),2473,38,1380,1380,302,1055,0,0,427,0,0
Madhya Pradesh,Chhindwara,Dongar Parasia (M),2074,295,1551,1492,897,227,0,1,172,14,0
Madhya Pradesh,Chhindwara,Harrai (NP),866,87,519,391,242,257,0,3,533,7,0
Madhya Pradesh,Chhindwara,Jamai (M),1065,21,818,817,556,224,0,2,765,0,0
Madhya Pradesh,Chhindwara,Lodhikheda (NP),1031,0,714,714,584,317,0,0,500,4,0
Madhya Pradesh,Chhindwara,Mohgaon (NP),603,14,429,429,345,160,0,0,359,0,0
Madhya Pradesh,Chhindwara,Neuton Chikhli Kalan (NP),1311,1,1149,1149,821,160,0,1,782,0,0
Madhya Pradesh,Chhindwara,Pandhurna (M),1618,3,1530,1530,1279,85,0,0,1421,0,0
Madhya Pradesh,Chhindwara,Piplanarayanwar (NP),674,96,564,521,363,14,0,0,337,3,0
Madhya Pradesh,Chhindwara,Sausar (M),953,13,905,905,829,35,0,0,732,0,0
Madhya Pradesh,Bhind,Akoda (NP),1275,0,1118,1118,4,156,0,1,571,0,1
Madhya Pradesh,Bhind,Alampur (NP),1070,250,628,547,256,192,0,0,413,0,0
Madhya Pradesh,Bhind,Bhind (M),4020,146,3250,3250,2889,615,5,4,2626,61,1
Madhya Pradesh,Bhind,Daboh (NP),1615,502,911,910,49,202,0,0,578,1,0
Madhya Pradesh,Bhind,Gohad (M),3526,10,2357,2349,1398,1157,2,0,1080,0,3
Madhya Pradesh,Bhind,Gormi (NP),1040,213,483,482,141,344,0,0,466,0,0
Madhya Pradesh,Bhind,Lahar (NP),1342,74,973,916,173,295,0,0,842,0,0
Madhya Pradesh,Bhind,Mau (NP),1295,4,814,814,247,343,0,134,581,0,0
Madhya Pradesh,Bhind,Mehgaon (NP),733,84,553,553,0,94,1,1,245,8,0
Madhya Pradesh,Bhind,Mihona (NP),895,3,803,803,48,89,0,0,319,0,0
Madhya Pradesh,Bhind,Phuphkalan (NP),871,105,634,614,149,132,0,0,502,0,0
Madhya Pradesh,Betul,Amla (M),863,12,526,440,430,325,0,0,443,0,1
Madhya Pradesh,Betul,Athner (NP),2179,251,916,903,133,1012,0,0,698,14,0
Madhya Pradesh,Betul,Betul (M),3046,212,1872,1872,411,958,0,4,1860,30,0
Madhya Pradesh,Betul,Betul-Bazar (NP),1376,11,488,488,205,877,0,0,457,0,0
Madhya Pradesh,Betul,Bhainsdehi (NP),1666,106,880,536,348,679,1,0,536,0,0
Madhya Pradesh,Betul,Chicholi (NP),700,1,339,339,301,360,0,0,328,1,0
Madhya Pradesh,Betul,Multai (M),875,1,558,558,194,315,0,1,558,0,1
Madhya Pradesh,Betul,Sarni (M),5236,1042,4081,4081,3350,107,2,4,4122,0,0
Madhya Pradesh,Barwani,Anjad (NP),1105,131,966,936,932,8,0,0,598,2,0
Madhya Pradesh,Barwani,Barwani (M),2001,324,1428,1428,965,247,0,2,1428,0,0
Madhya Pradesh,Barwani,Khetia (NP),2131,17,999,999,601,1115,0,0,580,0,0
Madhya Pradesh,Barwani,Palsud (NP),1644,798,601,601,378,245,0,0,423,0,0
Madhya Pradesh,Barwani,Pansemal (NP),1280,3,651,643,530,626,0,0,500,0,0
Madhya Pradesh,Barwani,Rajpur (NP),1281,102,935,916,626,241,0,3,736,45,1
Madhya Pradesh,Barwani,Sendhwa (M),1843,0,1762,1762,144,81,0,0,1003,0,1
Madhya Pradesh,Balaghat,Baihar (NP),908,277,499,298,179,131,1,0,499,6,0
Madhya Pradesh,Balaghat,Balaghat (M),3278,1288,1263,1211,650,727,0,0,1755,3,0
Madhya Pradesh,Balaghat,Katangi (NP),2022,57,527,467,264,1437,0,1,466,11,0
Madhya Pradesh,Balaghat,Lanji (NP),2469,1,1540,1540,668,928,0,0,653,1,0
Madhya Pradesh,Balaghat,Malajkhand (M),4851,22,3941,3937,3407,881,0,7,1565,1,1
Madhya Pradesh,Balaghat,Waraseoni (M),1325,92,1111,1111,991,121,0,1,903,0,1
Madhya Pradesh,Ashoknagar,Ashoknagar (M),5440,2227,2363,1095,509,849,0,1,2422,1,4
Madhya Pradesh,Ashoknagar,Chanderi (M),4001,661,1775,1681,590,1564,0,1,1153,246,1
Madhya Pradesh,Ashoknagar,Isagarh (NP),2163,294,1043,1043,723,824,1,1,909,1,1
Madhya Pradesh,Ashoknagar,Mungaoli (NP),1365,93,966,957,794,301,1,4,710,11,3
Madhya Pradesh,Ashoknagar,Shadhora,2438,676,1631,1330,442,128,3,0,1330,0,1
Madhya Pradesh,Bhopal,Berasia (M),3029,200,1792,1791,772,1027,6,4,1793,3,1
Madhya Pradesh,Bhopal,Bhopal (M Corp.),55826,33,38976,38958,25979,5161,2,11654,38979,3,5
Madhya Pradesh,Bhopal,Kolar (M),687,687,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Anuppur,Amarkantak (NP),792,6,531,170,170,254,1,0,161,0,0
Madhya Pradesh,Anuppur,Anuppur (M),1791,496,646,605,328,649,0,0,735,0,1
Madhya Pradesh,Anuppur,Bijuri (M),3139,1355,1781,1773,932,2,0,1,1598,2,0
Madhya Pradesh,Anuppur,Jaithari (NP),1279,451,808,754,475,20,0,0,752,0,0
Madhya Pradesh,Anuppur,Kotma (M),1550,1,1379,840,736,165,1,4,841,0,0
Madhya Pradesh,Anuppur,Pasan (M),1002,0,971,856,779,31,0,0,571,0,0
Madhya Pradesh,Agar Malwa,Agar (M),732,0,636,636,596,95,0,1,611,0,0
Madhya Pradesh,Agar Malwa,Badagaon (NP),573,245,325,324,297,3,0,0,330,2,0
Madhya Pradesh,Agar Malwa,Barod (NP),775,51,464,464,283,260,0,0,338,8,0
Madhya Pradesh,Agar Malwa,Kanad (NP),821,218,545,545,482,58,0,0,441,23,0
Madhya Pradesh,Agar Malwa,Nalkheda (NP),789,7,742,738,649,39,1,0,727,0,0
Madhya Pradesh,Agar Malwa,Soyatkalan (NP),606,119,342,342,0,115,0,30,261,0,1
Madhya Pradesh,Agar Malwa,Susner (NP),601,67,531,481,192,2,1,0,392,0,0
Maharashtra,Solapur,Akkalkot (M Cl),3191,405,2502,2042,1415,271,0,13,992,132,0
Maharashtra,Solapur,Barshi (M Cl),6791,618,6004,5295,4477,146,1,22,3763,6,2
Maharashtra,Solapur,Dudhani (M Cl),749,7,730,724,629,12,0,0,331,39,0
Maharashtra,Solapur,Karmala (M Cl),339,23,298,265,249,18,0,0,265,0,0
Maharashtra,Solapur,Kurduvadi (M Cl),1016,0,750,689,531,264,0,2,500,83,0
Maharashtra,Solapur,Madha,916,179,736,720,688,1,0,0,476,65,0
Maharashtra,Solapur,Maindargi (M Cl),1402,225,1126,1126,967,50,0,1,682,38,1
Maharashtra,Solapur,Malshiras,1468,8,1446,1446,1438,6,2,6,764,0,0
Maharashtra,Solapur,Mangalvedhe (M Cl),855,38,810,673,538,7,0,0,650,30,0
Maharashtra,Solapur,Mohol Nagar Parishad,1127,1,1125,1001,974,0,1,0,1110,10,0
Maharashtra,Solapur,Pandharpur (M Cl),1777,0,1609,1607,1494,168,0,0,1068,58,2
Maharashtra,Solapur,Sangole (M Cl),2581,1,2151,2151,1953,389,0,40,1616,29,0
Maharashtra,Solapur,Solapur (M Corp.),30983,46,22121,21580,9498,8789,14,13,15662,43,12
Maharashtra,Sindhudurga,Devgad - Jamsande,87,1,84,26,26,1,0,1,30,4,0
Maharashtra,Sindhudurga,Kankavli (NP),92,0,57,56,55,35,0,0,47,0,0
Maharashtra,Sindhudurga,Kasai - Dodamarg (NP),92,1,91,91,3,0,0,0,91,0,0
Maharashtra,Sindhudurga,Kudal,10,10,0,0,0,0,0,0,9,0,0
Maharashtra,Sindhudurga,Malwan (M Cl),156,0,150,150,147,0,0,6,150,0,1
Maharashtra,Sindhudurga,Sawantwadi (M Cl),79,0,75,75,70,2,0,2,70,0,0
Maharashtra,Sindhudurga,Vengurla (M Cl),325,7,247,237,236,61,1,9,244,0,0
Maharashtra,Sindhudurga,Wabhave - Vaibhavwadi (NP),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Sangli,Ashta (M Cl),890,2,600,600,476,288,0,0,391,1,1
Maharashtra,Sangli,Jath,1639,409,1230,1187,1181,0,0,0,433,0,2
Maharashtra,Sangli,Kadegaon,309,2,307,307,304,0,0,0,288,2,0
Maharashtra,Sangli,Kavathemahakal,545,308,237,1,1,0,0,0,303,3,0
Maharashtra,Sangli,Khanapur,227,0,227,227,222,0,0,0,210,0,0
Maharashtra,Sangli,Palus,291,4,285,285,285,2,0,0,191,0,0
Maharashtra,Sangli,Sangli Miraj Kupwad (M Corp.),6250,51,4697,4649,3757,1498,1,3,3594,320,4
Maharashtra,Sangli,Shirala,212,1,211,124,12,0,0,0,149,22,0
Maharashtra,Sangli,Tasgaon (M Cl),1055,7,1047,1047,1005,1,0,0,905,0,2
Maharashtra,Sangli,Uran Islampur (M Cl),1244,0,680,680,602,562,1,1,680,3,0
Maharashtra,Sangli,Vita (M Cl),1988,4,1459,1459,1223,524,0,1,1369,21,0
Maharashtra,Raigadh,Alibag (M Cl),159,1,98,98,93,32,0,28,90,2,1
Maharashtra,Raigadh,Karjat (M Cl),779,1,668,668,66,110,0,0,441,0,1
Maharashtra,Raigadh,Khalapur(NP),182,0,170,170,170,12,0,0,141,18,0
Maharashtra,Raigadh,Khopoli (M Cl),1685,116,1245,1224,1192,322,0,2,1107,9,0
Maharashtra,Raigadh,Mahad (M Cl),99,1,87,87,74,10,0,1,71,0,0
Maharashtra,Raigadh,Mangaon (NP),90,0,90,90,89,0,0,0,90,0,0
Maharashtra,Raigadh,Matheran (M Cl),1,0,0,0,0,0,0,1,0,0,0
Maharashtra,Raigadh,Mhasala (NP),32,0,32,0,0,0,0,0,29,0,0
Maharashtra,Raigadh,Murud Janjira (M Cl),54,0,39,32,31,7,1,7,33,0,2
Maharashtra,Raigadh,Panvel (M Cl),5112,28,4631,3447,1066,453,0,0,2801,3,0
Maharashtra,Raigadh,Pen (M Cl),254,0,88,88,3,161,0,5,88,0,1
Maharashtra,Raigadh,Poladpur(NP),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Raigadh,Roha Ashtami (M Cl),2064,2051,13,13,12,0,0,0,13,0,0
Maharashtra,Raigadh,Shrivardhan (M Cl),279,1,198,39,36,80,0,0,169,3,0
Maharashtra,Raigadh,Tala (NP),126,0,126,126,126,0,0,0,47,48,0
Maharashtra,Raigadh,Uran (M Cl),3032,143,759,578,188,267,0,1863,574,27,0
Maharashtra,Pune,Alandi (M Cl),41,0,25,20,16,16,0,0,18,1,3
Maharashtra,Pune,Baramati (M Cl),1394,1,1258,1258,1195,134,0,1,590,0,0
Maharashtra,Pune,Bhor (M Cl),310,0,302,194,126,8,0,0,194,0,0
Maharashtra,Pune,CHAKAN,196,114,80,80,79,2,0,0,83,24,0
Maharashtra,Pune,Daund (M Cl),701,94,607,544,477,0,0,0,519,2,0
Maharashtra,Pune,Dehu Road (CB),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Pune,Indapur (M Cl),311,0,299,299,271,12,0,0,296,0,0
Maharashtra,Pune,Jejuri (M Cl),618,148,452,391,292,18,0,0,357,2,0
Maharashtra,Pune,Junnar (M Cl),163,3,145,145,11,15,0,0,136,2,1
Maharashtra,Pune,Kirkee (CB),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Pune,Lonavala (M Cl),591,1,535,529,524,55,0,0,367,4,0
Maharashtra,Pune,Pimpri Chinchwad (M Corp.),12429,1439,10292,9948,9093,506,7,185,9174,121,1
Maharashtra,Pune,Pune (CB),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Pune,Pune (M Corp.),59349,2627,46138,46138,43430,6692,19,3873,46278,40,20
Maharashtra,Pune,RajguruNagar,199,3,150,128,0,44,2,0,73,5,0
Maharashtra,Pune,Sasvad (M Cl),853,1,581,581,397,146,0,125,582,0,0
Maharashtra,Pune,Shirur (M Cl),1056,0,533,533,437,523,0,0,507,8,0
Maharashtra,Pune,Talegaon Dabhade (M Cl),298,0,293,273,220,5,0,0,219,0,2
Madhya Pradesh,Alirajpur,Alirajpur (M),854,52,445,368,58,357,0,0,266,0,0
Madhya Pradesh,Alirajpur,Bhavra (NP),1099,0,535,535,418,564,0,0,502,3,0
Madhya Pradesh,Alirajpur,Chandrasekhar Azad Nagar,383,383,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Alirajpur,Jobat (NP),249,3,146,146,96,100,0,0,137,0,0
Maharashtra,Ratnagiri,Chiplun (M Cl),596,0,360,357,353,235,1,0,346,3,0
Maharashtra,Ratnagiri,Dapoli Camp (NP),196,0,190,190,171,6,0,0,166,0,0
Maharashtra,Ratnagiri,Devrukh,329,163,148,69,63,18,0,0,147,0,0
Maharashtra,Ratnagiri,Guhagar,266,2,237,237,236,27,0,0,235,0,0
Maharashtra,Ratnagiri,Khed (M Cl),11,1,8,8,8,2,0,0,9,0,0
Maharashtra,Ratnagiri,Lanja MC,336,0,309,307,285,25,0,2,231,4,0
Maharashtra,Ratnagiri,Mandangad (NP),1,1,0,0,0,0,0,0,0,0,0
Maharashtra,Ratnagiri,Rajapur (M Cl),1769,0,42,42,40,0,0,1727,42,0,0
Maharashtra,Ratnagiri,Ratnagiri (M Cl),999,0,939,939,932,60,0,0,793,1,0
Maharashtra,Satara,Dahiwadi,330,131,199,199,199,0,0,0,222,0,1
Maharashtra,Satara,Karad (M Cl),1175,207,566,566,548,394,1,7,472,3,0
Maharashtra,Satara,Khandala,69,6,62,60,60,0,1,0,46,0,2
Maharashtra,Satara,Koregaon,234,0,225,217,217,9,0,0,202,1,0
Maharashtra,Satara,Lonand,256,256,0,0,0,0,0,0,157,0,1
Maharashtra,Satara,Mahabaleshwar (M Cl),67,0,57,57,53,9,0,1,59,0,0
Maharashtra,Satara,Malkapur (NP),229,0,195,195,191,29,0,5,195,0,0
Maharashtra,Satara,Medha,51,8,41,41,40,2,0,0,35,0,0
Maharashtra,Satara,Mhaswad (M Cl),1791,8,1767,1767,1767,0,0,16,1200,6,1
Maharashtra,Satara,Panchgani (M Cl),200,0,114,107,107,86,0,0,125,1,0
Maharashtra,Satara,Patan,29,11,18,18,0,0,0,0,16,0,0
Maharashtra,Satara,Phaltan (M Cl),874,199,669,655,651,4,1,1,555,2,2
Maharashtra,Satara,Rahimatpur (M Cl),238,71,166,164,164,1,0,0,148,0,0
Maharashtra,Satara,Satara (M Cl),974,46,886,821,820,26,0,16,693,6,0
Maharashtra,Satara,Waduj,269,0,269,37,37,0,0,0,161,0,0
Maharashtra,Satara,Wai (M Cl),575,440,135,135,134,0,0,0,135,1,0
Maharashtra,Nashik,Bhagur (M Cl),384,93,281,263,263,8,0,2,89,0,0
Maharashtra,Nashik,Chandwad (MC),1161,0,1154,1052,3,7,0,0,861,48,0
Maharashtra,Nashik,Deola NP,643,121,521,521,512,1,0,0,469,76,0
Maharashtra,Nashik,Deolali (CB),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Nashik,Dindori NP,1040,32,998,998,584,5,0,5,712,28,0
Maharashtra,Nandurbar,Dhadgaon Wadfalya (NP),1170,95,1074,303,301,1,0,0,1081,4,1
Maharashtra,Nashik,Igatpuri (M Cl),1194,56,1121,1114,1095,17,0,0,506,23,1
Maharashtra,Nashik,Kalwan NP,778,13,763,738,725,2,0,0,439,206,0
Maharashtra,Nandurbar,Nandurbar (M Cl),2331,803,1524,1524,764,2,2,0,1357,0,0
Maharashtra,Nandurbar,Nawapur (M Cl),1676,43,1450,1385,1365,181,0,2,1359,0,2
Maharashtra,Nashik,Malegaon (M Corp.),14358,69,14101,14101,13793,186,2,0,6999,45,2
Maharashtra,Nashik,Manmad (M Cl),2637,61,2553,254,247,16,0,7,1784,23,0
Maharashtra,Nandurbar,Shahade (M Cl),2651,945,1697,1501,1089,8,1,0,2186,1,1
Maharashtra,Nandurbar,Talode (M Cl),1688,2,1552,1551,327,134,0,0,1309,5,0
Maharashtra,Nashik,Nandgaon (M Cl),1026,213,751,601,476,53,0,9,669,6,0
Maharashtra,Nanded Waghala,Ardhapur(M Cl),1997,26,1220,1136,890,750,1,0,1019,42,0
Maharashtra,Nashik,Nashik (M Corp.),21781,10,21755,7264,149,15,0,1,7264,70,1
Maharashtra,Nashik,Niphad NP,1172,11,1147,1146,1098,14,0,0,743,10,1
Maharashtra,Nanded Waghala,Bhokar (M Cl),2541,74,1943,1943,1799,523,0,1,1476,438,0
Maharashtra,Nanded Waghala,Biloli (M Cl),2454,564,1572,1471,799,313,2,3,1184,0,14
Maharashtra,Nashik,Peth NP,464,0,464,464,464,0,0,0,416,0,1
Maharashtra,Nashik,Satana (M Cl),1847,664,780,779,573,403,0,0,586,1,0
Maharashtra,Nanded Waghala,Deglur (M Cl),3486,0,3010,3010,2841,454,1,21,1931,351,0
Maharashtra,Nanded Waghala,Dharmabad (M Cl),3347,23,3316,2973,2868,8,0,0,2205,21,0
Maharashtra,Palghar,Dahanu (M Cl),2676,5,2586,2582,2577,57,0,28,2100,15,0
Maharashtra,Nashik,Sinnar (M Cl),2367,2,2052,2052,1168,312,0,1,1500,70,1
Maharashtra,Nashik,Surgana NP,290,218,71,9,9,1,0,0,220,2,0
Maharashtra,Nanded Waghala,Hadgaon (M Cl),3041,951,2072,1784,1620,14,4,0,1601,316,0
Maharashtra,Nanded Waghala,Himayatnagar (NP),1497,29,1465,1139,813,2,1,0,1027,0,0
Maharashtra,Palghar,Jawhar (M Cl),391,106,283,283,270,1,0,1,283,0,0
Maharashtra,Nashik,Trimbak (M Cl),215,3,209,209,207,0,1,2,208,0,0
Maharashtra,Nanded Waghala,Kandhar (M Cl),1769,399,1365,1364,847,3,1,1,911,22,111
Maharashtra,Palghar,Mokhada,659,188,467,228,56,4,0,0,400,0,0
Maharashtra,Palghar,Palghar (M Cl),3037,29,2563,2417,2173,443,2,0,2411,6,0
Maharashtra,Nashik,Yevla (M Cl),1758,0,1545,1400,1314,212,1,0,860,21,2
Maharashtra,Nanded Waghala,Kinwat (M Cl),2856,72,2061,2027,1721,721,2,0,1541,197,0
Maharashtra,Nanded Waghala,Kundalwadi (M Cl),2276,89,1859,1841,489,327,1,0,1421,0,1
Maharashtra,Palghar,Talasari,468,60,408,0,0,0,0,0,176,0,0
Maharashtra,Palghar,Vasai-Virar City (M Corp),18914,65,18558,10606,9899,290,1,0,10610,8,1
Maharashtra,Palghar,Vikramgad,541,40,501,490,461,0,0,0,490,0,0
Maharashtra,Nanded Waghala,Loha (M Cl),2237,401,1816,1267,296,17,3,0,1582,26,0
Maharashtra,Nanded Waghala,Mahur (M Cl),2034,1204,782,770,741,45,3,0,710,37,1
Maharashtra,Nagpur,Bhiwapur (NP),776,0,776,776,742,0,0,0,710,2,0
Maharashtra,Nanded Waghala,Mudkhed (M Cl),2402,0,2314,1659,1211,88,0,0,1401,26,0
Maharashtra,Nanded Waghala,Mukhed (M Cl),2818,582,1789,1789,1667,443,1,3,832,70,0
Maharashtra,Nagpur,Hingana (NP),395,34,344,344,316,15,0,2,344,0,0
Maharashtra,Nagpur,Kalameshwar (M Cl),807,3,655,654,634,148,0,1,554,4,0
Maharashtra,Nanded Waghala,Naigaon (NP),2424,1170,1254,0,0,0,0,0,1482,91,1
Maharashtra,Nanded Waghala,Nanded Waghala (M Corp.),10610,1,4629,4629,2818,5973,6,1,4243,4,1
Maharashtra,Nagpur,Kamptee (CB),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Nagpur,Kamptee (M Cl),3970,11,1446,1446,1220,2511,2,0,874,169,0
Maharashtra,Nanded Waghala,Peth Umri (M Cl),1325,0,1189,1189,946,132,0,4,892,13,0
Maharashtra,Nanded Waghala,Umri,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,Nagpur,Kanhan-Pipri (MC),1574,10,1398,1065,878,165,0,1,658,7,0
Maharashtra,Nagpur,Katol (M Cl),1227,129,738,729,617,121,0,239,647,14,1
Maharashtra,Nagpur,Khapa (M Cl),905,0,794,794,628,43,0,68,714,13,0
Maharashtra,Nagpur,Kuhi (NP),492,8,480,480,450,4,0,0,446,30,0
Maharashtra,Nagpur,Mahadula,1030,0,1024,1024,893,5,0,1,829,15,0
Maharashtra,Nagpur,Mohpa (M Cl),277,1,242,231,229,25,0,9,130,12,0
Maharashtra,Nagpur,Mouda,670,0,570,570,534,66,0,34,570,0,0
Maharashtra,Nagpur,Mowad (M Cl),462,1,244,244,218,217,0,0,208,17,0
Maharashtra,Nagpur,Nagpur (M Corp.),23061,132,12967,12931,9926,8992,11,959,11833,171,23
Maharashtra,Nagpur,Narkhed (M Cl),1271,5,1066,1066,978,185,0,15,865,53,1
Maharashtra,Nagpur,Ramtek (M Cl),1276,1,1016,1006,945,189,0,70,753,37,2
Maharashtra,Nagpur,Savner (M Cl),2653,0,1744,1744,1663,622,0,287,1744,41,1
Maharashtra,Nagpur,Umred (M Cl),1838,8,1514,1514,1195,316,0,0,1169,39,0
Maharashtra,Nagpur,Wadi (MC),929,1,574,544,354,299,1,54,472,39,0
Maharashtra,Mumbai Suburban,BrihanMumbai Municipal Corporation,14885,151,12480,9035,8149,2179,11,64,1381,125,13
Maharashtra,Kolhapur,Gadhinglaj (M Cl),145,1,126,126,108,18,0,0,118,0,0
Maharashtra,Kolhapur,Ichalkaranji (M Cl),3920,291,2392,2302,1881,1232,0,5,1929,7,1
Maharashtra,Kolhapur,Jaysingpur (M Cl),651,42,587,567,489,22,0,0,405,0,0
Maharashtra,Kolhapur,Kagal (M Cl),322,7,314,271,252,0,1,0,272,0,0
Maharashtra,Kolhapur,Kolhapur (M Corp.),3369,0,3151,2550,518,0,0,218,2143,30,2
Maharashtra,Kolhapur,Kurundvad (M Cl),390,0,316,316,220,55,0,19,316,0,1
Maharashtra,Kolhapur,Malkapur (M Cl),112,0,70,70,68,34,0,8,70,0,0
Maharashtra,Kolhapur,Murgud (M Cl),150,0,106,106,105,33,0,11,106,0,0
Maharashtra,Kolhapur,Panhala (M Cl),130,0,94,94,86,18,0,18,94,0,0
Maharashtra,Kolhapur,Vadgaon Kasba (M Cl),245,1,223,223,51,16,0,5,223,0,0
Maharashtra,Hingoli,Aundha (NP),1445,484,958,401,373,1,1,1,1062,28,2
Maharashtra,Hingoli,Basmath (M Cl),8593,2196,4095,4088,1368,2248,25,29,3076,24,6
Maharashtra,Hingoli,Hingoli (M Cl),3782,35,3699,3624,3586,45,0,3,2922,72,2
